gisjoin,name_dp,var_code,dp,name_sf,sf
G06020298,Dutch Flat CDP,IFE003,36,Dutch Flat CDP,53
G06020424,Eagleville CDP,IFE003,0,Eagleville CDP,18
G06020438,Earlimart CDP,IFE003,0,Earlimart CDP,77
G06020598,East Foothills CDP,IFE003,107,East Foothills CDP,132
G06020697,East Hemet CDP,IFE003,480,East Hemet CDP,549
G06020746,East La Mirada CDP,IFE003,312,East La Mirada CDP,96
G06020802,East Los Angeles CDP,IFE003,315,East Los Angeles CDP,1385
G06020900,East Nicolaus CDP,IFE003,0,East Nicolaus CDP,13
G06020907,East Oakdale CDP,IFE003,0,East Oakdale CDP,47
G06020928,Easton CDP,IFE003,0,Easton CDP,38
G06020942,East Orosi CDP,IFE003,0,East Orosi CDP,4
G06020956,East Palo Alto city,IFE003,1606,East Palo Alto city,879
G06020984,East Pasadena CDP,IFE003,53,East Pasadena CDP,88
G06021012,East Porterville CDP,IFE003,270,East Porterville CDP,113
G06021026,East Quincy CDP,IFE003,2,East Quincy CDP,89
G06021034,East Rancho Dominguez CDP,IFE003,129,East Rancho Dominguez CDP,190
G06021061,East Richmond Heights CDP,IFE003,0,East Richmond Heights CDP,67
G06021096,East San Gabriel CDP,IFE003,438,East San Gabriel CDP,231
G06021138,East Shore CDP,IFE003,149,East Shore CDP,187
G06021188,East Sonora CDP,IFE003,1,East Sonora CDP,129
G06021210,East Tulare Villa CDP,IFE003,51,East Tulare Villa CDP,10
G06021230,Eastvale CDP,IFE003,2632,Eastvale CDP,854
G06021530,Edgewood CDP,IFE003,0,Edgewood CDP,1
G06021558,Edmundson Acres CDP,IFE003,0,Edmundson Acres CDP,9
G06021565,Edna CDP,IFE003,0,Edna CDP,2
G06021600,Edwards AFB CDP,IFE003,1,Edwards AFB CDP,211
G06021712,El Cajon city,IFE003,563,El Cajon city,1716
G06021782,El Centro city,IFE003,1338,El Centro city,1368
G06021796,El Cerrito city,IFE003,5,El Cerrito city,574
G06021810,El Cerrito CDP,IFE003,0,El Cerrito CDP,63
G06021880,El Dorado Hills CDP,IFE003,1177,El Dorado Hills CDP,626
G06021894,Eldridge CDP,IFE003,15,Eldridge CDP,63
G06021936,El Granada CDP,IFE003,344,El Granada CDP,100
G06021964,Elizabeth Lake CDP,IFE003,1,Elizabeth Lake CDP,71
G06022006,Elk Creek CDP,IFE003,0,Elk Creek CDP,11
G06022020,Elk Grove city,IFE003,6039,Elk Grove city,2707
G06022034,Elkhorn CDP,IFE003,0,Elkhorn CDP,33
G06022146,Elmira CDP,IFE003,0,Elmira CDP,6
G06022230,El Monte city,IFE003,1614,El Monte city,1255
G06022286,El Nido CDP,IFE003,0,El Nido CDP,11
G06022300,El Paso de Robles (Paso Robles) city,IFE003,1441,El Paso de Robles (Paso Robles) city,593
G06022328,El Portal CDP,IFE003,0,El Portal CDP,46
