gisjoin,name_dp,var_code,dp,name_sf,sf
G56025185,Esterbrook CDP,H7X001,106,Esterbrook CDP,52
G56025330,Ethete CDP,H7X001,1560,Ethete CDP,1553
G56025475,Etna CDP,H7X001,108,Etna CDP,164
G56025620,Evanston city,H7X001,11976,Evanston city,12359
G56025765,Evansville town,H7X001,2502,Evansville town,2544
G56025910,Fairview CDP,H7X001,288,Fairview CDP,275
G56026055,Farson CDP,H7X001,252,Farson CDP,313
G56027650,Fontenelle CDP,H7X001,32,Fontenelle CDP,13
G56027940,Fort Bridger CDP,H7X001,330,Fort Bridger CDP,345
G56028230,Fort Laramie town,H7X001,212,Fort Laramie town,230
G56028665,Fort Washakie CDP,H7X001,1584,Fort Washakie CDP,1759
G56029300,Fox Farm-College CDP,H7X001,3598,Fox Farm-College CDP,3647
G56029390,Fox Park CDP,H7X001,20,Fox Park CDP,22
G56029825,Frannie town,H7X001,114,Frannie town,157
G56030115,Freedom CDP,H7X001,184,Freedom CDP,214
G56030985,Garland CDP,H7X001,169,Garland CDP,115
G56031855,Gillette city,H7X001,28559,Gillette city,29087
G56032290,Glendo town,H7X001,163,Glendo town,205
G56032435,Glenrock town,H7X001,2601,Glenrock town,2576
G56032870,Granger town,H7X001,174,Granger town,139
G56033740,Green River city,H7X001,12257,Green River city,12515
G56033885,Greybull town,H7X001,1840,Greybull town,1847
G56034030,Grover CDP,H7X001,131,Grover CDP,147
G56034320,Guernsey town,H7X001,1047,Guernsey town,1147
G56035335,Hanna town,H7X001,685,Hanna town,841
G56035552,Hartrandt CDP,H7X001,705,Hartrandt CDP,693
G56035625,Hartville town,H7X001,44,Hartville town,62
G56036060,Hawk Springs CDP,H7X001,87,Hawk Springs CDP,45
G56037510,Hillsdale CDP,H7X001,75,Hillsdale CDP,47
G56037727,Hill View Heights CDP,H7X001,102,Hill View Heights CDP,170
G56037945,Hoback CDP,H7X001,1025,Hoback CDP,1176
G56038307,Homa Hills CDP,H7X001,327,Homa Hills CDP,278
G56038960,Hudson town,H7X001,322,Hudson town,458
G56039105,Hulett town,H7X001,333,Hulett town,383
G56039250,Huntley CDP,H7X001,7,Huntley CDP,30
G56039395,Hyattville CDP,H7X001,93,Hyattville CDP,75
G56040120,Jackson town,H7X001,9178,Jackson town,9577
G56040265,James Town CDP,H7X001,560,James Town CDP,536
G56040555,Jeffrey City CDP,H7X001,76,Jeffrey City CDP,58
G56040945,Johnstown CDP,H7X001,290,Johnstown CDP,242
G56041353,Kaycee town,H7X001,250,Kaycee town,263
G56041860,Kelly CDP,H7X001,134,Kelly CDP,138
G56042005,Kemmerer city,H7X001,2659,Kemmerer city,2656
G56042730,Kirby town,H7X001,109,Kirby town,92
G56043455,La Barge town,H7X001,506,La Barge town,551
G56043745,La Grange town,H7X001,509,La Grange town,448
G56044252,Lakeview North CDP,H7X001,71,Lakeview North CDP,84
G56044615,Lance Creek CDP,H7X001,118,Lance Creek CDP,43
G56044760,Lander city,H7X001,7231,Lander city,7487
G56045050,Laramie city,H7X001,30666,Laramie city,30816
G56046790,Lingle town,H7X001,486,Lingle town,468
G56046935,Little America CDP,H7X001,66,Little America CDP,68
G56047370,Lonetree CDP,H7X001,90,Lonetree CDP,49
G56047805,Lost Springs town,H7X001,0,Lost Springs town,4
G56047950,Lovell town,H7X001,2257,Lovell town,2360
G56048240,Lucerne CDP,H7X001,430,Lucerne CDP,535
G56048530,Lusk town,H7X001,1592,Lusk town,1567
G56048675,Lyman town,H7X001,2166,Lyman town,2115
G56049400,McKinnon CDP,H7X001,70,McKinnon CDP,60
G56049775,Mammoth CDP,H7X001,163,Mammoth CDP,263
G56049980,Manderson town,H7X001,69,Manderson town,114
G56050270,Manville town,H7X001,22,Manville town,95
G56050415,Marbleton town,H7X001,1202,Marbleton town,1094
