gisjoin,name_dp,var_code,dp,name_sf,sf
G3200150,Lander County,H7Z016,461,Lander County,496
G3200170,Lincoln County,H7Z016,84,Lincoln County,116
G3200190,Lyon County,H7Z016,3263,Lyon County,3241
G3200210,Mineral County,H7Z016,90,Mineral County,99
G3200230,Nye County,H7Z016,2153,Nye County,2220
G3200270,Pershing County,H7Z016,411,Pershing County,451
G3200290,Storey County,H7Z016,37,Storey County,43
G3200310,Washoe County,H7Z016,39445,Washoe County,39365
G3200330,White Pine County,H7Z016,237,White Pine County,273
G3205100,Carson City,H7Z016,5157,Carson City,5138
G3200010,Churchill County,H7Z017,350,Churchill County,265
G3200030,Clark County,H7Z017,37251,Clark County,37588
G3200050,Douglas County,H7Z017,494,Douglas County,429
G3200070,Elko County,H7Z017,805,Elko County,754
G3200090,Esmeralda County,H7Z017,187,Esmeralda County,13
G3200110,Eureka County,H7Z017,147,Eureka County,20
G3200130,Humboldt County,H7Z017,309,Humboldt County,211
G3200150,Lander County,H7Z017,146,Lander County,80
G3200170,Lincoln County,H7Z017,187,Lincoln County,35
G3200190,Lyon County,H7Z017,782,Lyon County,594
G3200210,Mineral County,H7Z017,186,Mineral County,52
G3200230,Nye County,H7Z017,531,Nye County,449
G3200270,Pershing County,H7Z017,192,Pershing County,88
G3200290,Storey County,H7Z017,149,Storey County,14
G3200310,Washoe County,H7Z017,5470,Washoe County,5663
G3200330,White Pine County,H7Z017,311,White Pine County,86
G3205100,Carson City,H7Z017,701,Carson City,602
G3200010,Churchill County,H70001,26068,Churchill County,26004
G3200030,Clark County,H70001,2058944,Clark County,2061950
G3200050,Douglas County,H70001,48954,Douglas County,48602
G3200070,Elko County,H70001,50582,Elko County,50434
G3200090,Esmeralda County,H70001,1485,Esmeralda County,817
G3200110,Eureka County,H70001,2484,Eureka County,2051
G3200130,Humboldt County,H70001,17493,Humboldt County,17023
G3200150,Lander County,H70001,6236,Lander County,5935
G3200170,Lincoln County,H70001,6051,Lincoln County,5469
G3200190,Lyon County,H70001,54373,Lyon County,54059
G3200210,Mineral County,H70001,5459,Mineral County,4992
G3200230,Nye County,H70001,45819,Nye County,45642
G3200270,Pershing County,H70001,7496,Pershing County,6971
